RespondentID,Feedback,Sentiment,clean_feedback,tokens,filtered_tokens,lemmatized_tokens,processed_text
189,Works great with milk but black coffee isn't my favourite. Customer service was gr8 too.,Neutral,works great with milk but black coffee isnt my favourite customer service was gr too,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite', 'customer', 'service', 'was', 'gr', 'too']","['works', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'customer', 'service', 'gr']","['work', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'customer', 'service', 'gr']",work great milk black coffee isnt favourite customer service gr
190,Way too expensive. ngl I expected more.,Neutral,way too expensive honestly i expected more,"['way', 'too', 'expensive', 'honestly', 'i', 'expected', 'more']","['way', 'expensive', 'honestly', 'expected']","['way', 'expensive', 'honestly', 'expected']",way expensive honestly expected
191,Really enjoying Coffee X. Not bad at all tbh. 😕,Positive,really enjoying coffee x not bad at all honestly,"['really', 'enjoying', 'coffee', 'x', 'not', 'bad', 'at', 'all', 'honestly']","['really', 'enjoying', 'coffee', 'x', 'not', 'bad', 'honestly']","['really', 'enjoying', 'coffee', 'x', 'not', 'bad', 'honestly']",really enjoying coffee x not bad honestly
192,Expected better. Not bad at all tbh.,Neutral,expected better not bad at all honestly,"['expected', 'better', 'not', 'bad', 'at', 'all', 'honestly']","['expected', 'better', 'not', 'bad', 'honestly']","['expected', 'better', 'not', 'bad', 'honestly']",expected better not bad honestly
193,Yumm 😋 🤔,Positive,yumm,['yumm'],['yumm'],['yumm'],yumm
194,Really enjoying Coffee X. Hope you keep the quality consistent. 😅,Positive,really enjoying coffee x hope you keep the quality consistent,"['really', 'enjoying', 'coffee', 'x', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['really', 'enjoying', 'coffee', 'x', 'hope', 'keep', 'quality', 'consistent']","['really', 'enjoying', 'coffee', 'x', 'hope', 'keep', 'quality', 'consistent']",really enjoying coffee x hope keep quality consistent
195,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😍,Neutral,works great with milk but black coffee isnt my favourite not bad at all honestly,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite', 'not', 'bad', 'at', 'all', 'honestly']","['works', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'not', 'bad', 'honestly']","['work', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'not', 'bad', 'honestly']",work great milk black coffee isnt favourite not bad honestly
196,Didn't enjoy the aftertaste 😋,Negative,didnt enjoy the aftertaste,"['didnt', 'enjoy', 'the', 'aftertaste']","['didnt', 'enjoy', 'aftertaste']","['didnt', 'enjoy', 'aftertaste']",didnt enjoy aftertaste
197,Amazing aroma. Delivery was rly fast. 😅,Positive,amazing aroma delivery was rly fast,"['amazing', 'aroma', 'delivery', 'was', 'rly', 'fast']","['amazing', 'aroma', 'delivery', 'rly', 'fast']","['amazing', 'aroma', 'delivery', 'rly', 'fast']",amazing aroma delivery rly fast
198,Best coffee I've had in a while.,Positive,best coffee ive had in a while,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while']","['best', 'coffee', 'ive']","['best', 'coffee', 'ive']",best coffee ive
199,Taste is kinda weak. Hope you keep the quality consistent. ❤️,Neutral,taste is kinda weak hope you keep the quality consistent,"['taste', 'is', 'kinda', 'weak', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['taste', 'kinda', 'weak', 'hope', 'keep', 'quality', 'consistent']","['taste', 'kinda', 'weak', 'hope', 'keep', 'quality', 'consistent']",taste kinda weak hope keep quality consistent
200,Wouldn't buy again. ❤️,Positive,wouldnt buy again,"['wouldnt', 'buy', 'again']","['wouldnt', 'buy']","['wouldnt', 'buy']",wouldnt buy
201,Works great with milk but black coffee isn't my favourite. 😅,Neutral,works great with milk but black coffee isnt my favourite,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite']","['works', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite']","['work', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite']",work great milk black coffee isnt favourite
202,Worth every penny. Delivery was realy fast. ❤️,Positive,worth every penny delivery was realy fast,"['worth', 'every', 'penny', 'delivery', 'was', 'realy', 'fast']","['worth', 'every', 'penny', 'delivery', 'realy', 'fast']","['worth', 'every', 'penny', 'delivery', 'realy', 'fast']",worth every penny delivery realy fast
203,Packaging looks premium but freshness could improve. Not bad at all tbh. 👎,Neutral,packaging looks premium but freshness could improve not bad at all honestly,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve', 'not', 'bad', 'at', 'all', 'honestly']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve', 'not', 'bad', 'honestly']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve', 'not', 'bad', 'honestly']",packaging look premium freshness could improve not bad honestly
204,"Love the aroma, not a fan of the aftertaste. 🤔",Neutral,love the aroma not a fan of the aftertaste,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste']","['love', 'aroma', 'not', 'fan', 'aftertaste']","['love', 'aroma', 'not', 'fan', 'aftertaste']",love aroma not fan aftertaste
205,Best cofee I've had in a while. 👍,Positive,best cofee ive had in a while,"['best', 'cofee', 'ive', 'had', 'in', 'a', 'while']","['best', 'cofee', 'ive']","['best', 'cofee', 'ive']",best cofee ive
206,Way too expensive. Hope you keep the quality consistent. 😊,Neutral,way too expensive hope you keep the quality consistent,"['way', 'too', 'expensive', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['way', 'expensive', 'hope', 'keep', 'quality', 'consistent']","['way', 'expensive', 'hope', 'keep', 'quality', 'consistent']",way expensive hope keep quality consistent
207,"Love the aroma, not a fan of the aftertaste. Hope you keep the quality consistent.",Neutral,love the aroma not a fan of the aftertaste hope you keep the quality consistent,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'hope', 'keep', 'quality', 'consistent']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'hope', 'keep', 'quality', 'consistent']",love aroma not fan aftertaste hope keep quality consistent
208,Love this coffee 😕,Positive,love this coffee,"['love', 'this', 'coffee']","['love', 'coffee']","['love', 'coffee']",love coffee
209,My morning feels incomplete without it.,Positive,my morning feels incomplete without it,"['my', 'morning', 'feels', 'incomplete', 'without', 'it']","['morning', 'feels', 'incomplete', 'without']","['morning', 'feel', 'incomplete', 'without']",morning feel incomplete without
210,Super smooth taste,Positive,super smooth taste,"['super', 'smooth', 'taste']","['super', 'smooth', 'taste']","['super', 'smooth', 'taste']",super smooth taste
211,Very balanced flavour. Would love a decaf version. 🤔,Positive,very balanced flavour would love a decaf version,"['very', 'balanced', 'flavour', 'would', 'love', 'a', 'decaf', 'version']","['balanced', 'flavour', 'would', 'love', 'decaf', 'version']","['balanced', 'flavour', 'would', 'love', 'decaf', 'version']",balanced flavour would love decaf version
212,cofee arrived stale. imo it's one of the better brands.,Neutral,cofee arrived stale opinion its one of the better brands,"['cofee', 'arrived', 'stale', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['cofee', 'arrived', 'stale', 'opinion', 'one', 'better', 'brands']","['cofee', 'arrived', 'stale', 'opinion', 'one', 'better', 'brand']",cofee arrived stale opinion one better brand
213,Amazing 😍 😋,Positive,amazing,['amazing'],['amazing'],['amazing'],amazing
214,Super smooth taste. Would love a decaf version. 👍,Positive,super smooth taste would love a decaf version,"['super', 'smooth', 'taste', 'would', 'love', 'a', 'decaf', 'version']","['super', 'smooth', 'taste', 'would', 'love', 'decaf', 'version']","['super', 'smooth', 'taste', 'would', 'love', 'decaf', 'version']",super smooth taste would love decaf version
215,"Love the aroma, not a fan of the aftertaste. Hope you keep the qualty consistent. 😋",Neutral,love the aroma not a fan of the aftertaste hope you keep the qualty consistent,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste', 'hope', 'you', 'keep', 'the', 'qualty', 'consistent']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'hope', 'keep', 'qualty', 'consistent']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'hope', 'keep', 'qualty', 'consistent']",love aroma not fan aftertaste hope keep qualty consistent
216,Expected better. imo it's one of the better brands.,Neutral,expected better opinion its one of the better brands,"['expected', 'better', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['expected', 'better', 'opinion', 'one', 'better', 'brands']","['expected', 'better', 'opinion', 'one', 'better', 'brand']",expected better opinion one better brand
217,Works gr8 with milk but black coffee isn't my favourite. Customer service was great too.,Neutral,works gr with milk but black coffee isnt my favourite customer service was great too,"['works', 'gr', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite', 'customer', 'service', 'was', 'great', 'too']","['works', 'gr', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'customer', 'service', 'great']","['work', 'gr', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'customer', 'service', 'great']",work gr milk black coffee isnt favourite customer service great
218,Super smooth taste. Please introduce more roast options. 😕,Positive,super smooth taste please introduce more roast options,"['super', 'smooth', 'taste', 'please', 'introduce', 'more', 'roast', 'options']","['super', 'smooth', 'taste', 'please', 'introduce', 'roast', 'options']","['super', 'smooth', 'taste', 'please', 'introduce', 'roast', 'option']",super smooth taste please introduce roast option
219,I'll definately buy again ❤️,Positive,ill definately buy again,"['ill', 'definately', 'buy', 'again']","['ill', 'definately', 'buy']","['ill', 'definately', 'buy']",ill definately buy
220,Coffee arrived stale. Would love a decaf version.,Neutral,coffee arrived stale would love a decaf version,"['coffee', 'arrived', 'stale', 'would', 'love', 'a', 'decaf', 'version']","['coffee', 'arrived', 'stale', 'would', 'love', 'decaf', 'version']","['coffee', 'arrived', 'stale', 'would', 'love', 'decaf', 'version']",coffee arrived stale would love decaf version
221,Best coffee I've had in a while. Customer service was great too.,Positive,best coffee ive had in a while customer service was great too,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while', 'customer', 'service', 'was', 'great', 'too']","['best', 'coffee', 'ive', 'customer', 'service', 'great']","['best', 'coffee', 'ive', 'customer', 'service', 'great']",best coffee ive customer service great
222,Packaging looks premium but freshness could improve. Customer service was great too.,Neutral,packaging looks premium but freshness could improve customer service was great too,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve', 'customer', 'service', 'was', 'great', 'too']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve', 'customer', 'service', 'great']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve', 'customer', 'service', 'great']",packaging look premium freshness could improve customer service great
223,Amazing aroma. Delivery was really fast. 😅,Positive,amazing aroma delivery was really fast,"['amazing', 'aroma', 'delivery', 'was', 'really', 'fast']","['amazing', 'aroma', 'delivery', 'really', 'fast']","['amazing', 'aroma', 'delivery', 'really', 'fast']",amazing aroma delivery really fast
224,Super smooth taste. Hope you keep the quality consistent. 😋,Positive,super smooth taste hope you keep the quality consistent,"['super', 'smooth', 'taste', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['super', 'smooth', 'taste', 'hope', 'keep', 'quality', 'consistent']","['super', 'smooth', 'taste', 'hope', 'keep', 'quality', 'consistent']",super smooth taste hope keep quality consistent
225,I'll definitely buy again. Customer service was great too. 😊,Positive,ill definitely buy again customer service was great too,"['ill', 'definitely', 'buy', 'again', 'customer', 'service', 'was', 'great', 'too']","['ill', 'definitely', 'buy', 'customer', 'service', 'great']","['ill', 'definitely', 'buy', 'customer', 'service', 'great']",ill definitely buy customer service great
226,Very balanced flavour,Positive,very balanced flavour,"['very', 'balanced', 'flavour']","['balanced', 'flavour']","['balanced', 'flavour']",balanced flavour
227,Didn't enjoy the aftertaste.,Negative,didnt enjoy the aftertaste,"['didnt', 'enjoy', 'the', 'aftertaste']","['didnt', 'enjoy', 'aftertaste']","['didnt', 'enjoy', 'aftertaste']",didnt enjoy aftertaste
228,Expected better. I drink it every morning. 😊,Neutral,expected better i drink it every morning,"['expected', 'better', 'i', 'drink', 'it', 'every', 'morning']","['expected', 'better', 'drink', 'every', 'morning']","['expected', 'better', 'drink', 'every', 'morning']",expected better drink every morning
229,Taste is kinda weak. 😅,Negative,taste is kinda weak,"['taste', 'is', 'kinda', 'weak']","['taste', 'kinda', 'weak']","['taste', 'kinda', 'weak']",taste kinda weak
230,Packaging could be better. Hope you keep the quality consistent.,Neutral,packaging could be better hope you keep the quality consistent,"['packaging', 'could', 'be', 'better', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['packaging', 'could', 'better', 'hope', 'keep', 'quality', 'consistent']","['packaging', 'could', 'better', 'hope', 'keep', 'quality', 'consistent']",packaging could better hope keep quality consistent
231,Really enjoying Coffee X. Please introduce more roast options.,Positive,really enjoying coffee x please introduce more roast options,"['really', 'enjoying', 'coffee', 'x', 'please', 'introduce', 'more', 'roast', 'options']","['really', 'enjoying', 'coffee', 'x', 'please', 'introduce', 'roast', 'options']","['really', 'enjoying', 'coffee', 'x', 'please', 'introduce', 'roast', 'option']",really enjoying coffee x please introduce roast option
232,Too bitter for me. imo it's one of the better brands.,Neutral,too bitter for me opinion its one of the better brands,"['too', 'bitter', 'for', 'me', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['bitter', 'opinion', 'one', 'better', 'brands']","['bitter', 'opinion', 'one', 'better', 'brand']",bitter opinion one better brand
233,Best cofee I've had in a while. Customer service was gr8 too.,Positive,best cofee ive had in a while customer service was gr too,"['best', 'cofee', 'ive', 'had', 'in', 'a', 'while', 'customer', 'service', 'was', 'gr', 'too']","['best', 'cofee', 'ive', 'customer', 'service', 'gr']","['best', 'cofee', 'ive', 'customer', 'service', 'gr']",best cofee ive customer service gr
234,Wouldn't buy again. Not bad at all tbh.,Neutral,wouldnt buy again not bad at all honestly,"['wouldnt', 'buy', 'again', 'not', 'bad', 'at', 'all', 'honestly']","['wouldnt', 'buy', 'not', 'bad', 'honestly']","['wouldnt', 'buy', 'not', 'bad', 'honestly']",wouldnt buy not bad honestly
235,Super smooth taste. Would recommend it to friends.,Positive,super smooth taste would recommend it to friends,"['super', 'smooth', 'taste', 'would', 'recommend', 'it', 'to', 'friends']","['super', 'smooth', 'taste', 'would', 'recommend', 'friends']","['super', 'smooth', 'taste', 'would', 'recommend', 'friend']",super smooth taste would recommend friend
236,I'll definetly buy again,Positive,ill definetly buy again,"['ill', 'definetly', 'buy', 'again']","['ill', 'definetly', 'buy']","['ill', 'definetly', 'buy']",ill definetly buy
237,The beans smell fantastic. Delivery was really fast. 👎,Positive,the beans smell fantastic delivery was really fast,"['the', 'beans', 'smell', 'fantastic', 'delivery', 'was', 'really', 'fast']","['beans', 'smell', 'fantastic', 'delivery', 'really', 'fast']","['bean', 'smell', 'fantastic', 'delivery', 'really', 'fast']",bean smell fantastic delivery really fast
238,Pretty good!,Positive,pretty good,"['pretty', 'good']","['pretty', 'good']","['pretty', 'good']",pretty good
239,Taste is nice but it's a bit pricey. Not bad at all tbh. 😕,Neutral,taste is nice but its a bit pricey not bad at all honestly,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey', 'not', 'bad', 'at', 'all', 'honestly']","['taste', 'nice', 'bit', 'pricey', 'not', 'bad', 'honestly']","['taste', 'nice', 'bit', 'pricey', 'not', 'bad', 'honestly']",taste nice bit pricey not bad honestly
240,Amazing aroma. ngl I expected more.,Neutral,amazing aroma honestly i expected more,"['amazing', 'aroma', 'honestly', 'i', 'expected', 'more']","['amazing', 'aroma', 'honestly', 'expected']","['amazing', 'aroma', 'honestly', 'expected']",amazing aroma honestly expected
241,Packaging could be better. imo it's one of the better brands.,Neutral,packaging could be better opinion its one of the better brands,"['packaging', 'could', 'be', 'better', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['packaging', 'could', 'better', 'opinion', 'one', 'better', 'brands']","['packaging', 'could', 'better', 'opinion', 'one', 'better', 'brand']",packaging could better opinion one better brand
242,Not as fresh as expected. imo it's one of the better brands.,Neutral,not as fresh as expected opinion its one of the better brands,"['not', 'as', 'fresh', 'as', 'expected', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['not', 'fresh', 'expected', 'opinion', 'one', 'better', 'brands']","['not', 'fresh', 'expected', 'opinion', 'one', 'better', 'brand']",not fresh expected opinion one better brand
243,Very balanced flavour. Would love a decaf version. ❤️,Positive,very balanced flavour would love a decaf version,"['very', 'balanced', 'flavour', 'would', 'love', 'a', 'decaf', 'version']","['balanced', 'flavour', 'would', 'love', 'decaf', 'version']","['balanced', 'flavour', 'would', 'love', 'decaf', 'version']",balanced flavour would love decaf version
244,Amazing aroma,Positive,amazing aroma,"['amazing', 'aroma']","['amazing', 'aroma']","['amazing', 'aroma']",amazing aroma
245,Pretty good overall although I expected a stronger roast. Not bad at all tbh.,Neutral,pretty good overall although i expected a stronger roast not bad at all honestly,"['pretty', 'good', 'overall', 'although', 'i', 'expected', 'a', 'stronger', 'roast', 'not', 'bad', 'at', 'all', 'honestly']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast', 'not', 'bad', 'honestly']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast', 'not', 'bad', 'honestly']",pretty good overall although expected stronger roast not bad honestly
246,I'll definitely buy again. Would recommend it to friends.,Positive,ill definitely buy again would recommend it to friends,"['ill', 'definitely', 'buy', 'again', 'would', 'recommend', 'it', 'to', 'friends']","['ill', 'definitely', 'buy', 'would', 'recommend', 'friends']","['ill', 'definitely', 'buy', 'would', 'recommend', 'friend']",ill definitely buy would recommend friend
247,Could be better. 😍,Negative,could be better,"['could', 'be', 'better']","['could', 'better']","['could', 'better']",could better
248,I'll definitely buy again.,Positive,ill definitely buy again,"['ill', 'definitely', 'buy', 'again']","['ill', 'definitely', 'buy']","['ill', 'definitely', 'buy']",ill definitely buy
249,"Love the aroma, not a fan of the aftertaste. 😕",Neutral,love the aroma not a fan of the aftertaste,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste']","['love', 'aroma', 'not', 'fan', 'aftertaste']","['love', 'aroma', 'not', 'fan', 'aftertaste']",love aroma not fan aftertaste
250,Super smooth taste 😍,Positive,super smooth taste,"['super', 'smooth', 'taste']","['super', 'smooth', 'taste']","['super', 'smooth', 'taste']",super smooth taste
